Event Site Name,nTags
PRDLD1 - PRD - Release into the Left Bank (facing downstream) Adult Fish Ladder,26
AMERR - American River,24
CHAMBC - Chamberlain Creek,24
PRO - Prosser Diversion Dam Combined,24
BHC - Bohannon Creek Lemhi R Basin,23
RIA - Rock Island Adult,23
SNKTRP - Snake Trap,23
WEB - Webb Creek,23
CROOKR - Crooked River,22
JOHTRP - Johnson Creek Trap,22
LOLOC - Lolo Creek,22
MINAMR - Minam River,22
POTREF - East Fork Potlatch River,20
REDR - Red River,20
SECTRP - Secesh River Screw Trap,20
CROTRP - Crooked River Trap,19
FISHC - Fish Creek,19
"BIGBEC - Big Bear Creek, Potlatch River",18
JDM - Upper John Day River Array,18
CMP - Camp Creek at rkm 2 - Imnaha,17
LAKEC - Lake Creek,17
LEMHIW - Lemhi River Weir,17
SAEFSF - East Fork South Fork Salmon River,17
CCA - Lower Charley Creek ISA,16
"COLR1 - Columbia River - mouth to Three Tree Point, WA (km 0-49)",16
"COLR2 - Columbia River - Three Tree Point, WA to Lewis River (km 49-140)",16
HST - Touchet River at Harvey Shaw,16
IMNAHR - Imnaha River,16
MAR - Marsh Cr at Lola Cr Campground,16
MARTRP - Marsh Creek Trap,16
PENAWC - Penawawa Creek - tributary to Snake River,16
RRT - Red River Satellite Facility,16
BBA - Big Bear Creek Array,15
PAHTRP - Pahsimeroi River Trap,15
SALRNF - North Fork Salmon River,15
VALEYC - Valley Creek,15
PD7 - Columbia River Estuary rkm 70,14
SNAKE4 - Snake River - Salmon River to Hells Canyon Dam (km 303-397),14
"GROUSC - Grouse Creek, Secesh River Basin",13
CAPEHC - Capehorn Creek,12
BBCTRP - Big Bear Creek Rotary Screw Trap,11
BGM - Burlingame Dam and Canal,11
"SULFUC - Sulphur Creek, Middle Fork Salmon River",11
BBT - Touchet River at Bolles Bridge,10
EPR - East Fork Potlatch Array,10
SJ1 - SF John Day (Mid),10
WENR - Wenaha River,10
BEAVEC - Beaver Creek,9
"CRC - Carmen Creek, Salmon R. Basin",9
EFPW - East Fork Potlatch River weir,9
KEN - Kenney Creek In-stream Arrays,9
MCD - Mill Creek Diversion Project,9
MDR - McDonald Road Bridge,9
PAHSIR - Pahsimeroi River,9
BR0 - Bridge Creek Gauge,8
CEY - Cearley Creek Side Channel,8
CLWRSF - South Fork Clearwater River,8
ELKC - Elk Creek,8
FREEZC - Freezeout Creek - tributary to Imnaha River,8
NEWSOC - Newsome Creek,8
RRF - Rocky Reach Fishway,8
"SHERFT - Sherars Falls Fishway Trap, Deschutes River",8
"CAMASC - Camas Creek, Middle Fork Salmon River",7
CFCTRP - Crooked Fork Creek Trap,7
DISOWN - Unknown,7
JDARMF - Middle Fork John Day River,7
LBS - Big Springs Creek,7
NBA - Nursery Bridge Adult,7
REDTRP - Red River Trap,7
SAT - Lower Satus Creek,7
"SLATEC - Slate Creek, lower Salmon River",7
SUN - Sunnyside Instream Array,7
WALLOR - Wallowa River,7
"WPC - Wimpey Creek, Lemhi R. Basin",7
YPP - Yellow Pine Pit Lake,7
30M - Thirtymile Crk John Day Basin,6
"BIRCHC - Birch Creek, Umatilla River",6
CHAMWF - West Fork Chamberlain Creek,6
JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454),6
MJ1 - Middle Fork John Day Array,6
TOUCHR - Touchet River,6
"WEA - Wells Dam, DCPUD Adult Ladders",6
ASOTSF - South Fork Asotin Creek,5
"BEAV4C - Beaver Creek, Big Creek watershed, MF Salmon River",5
"CAMP4C - Camp Creek, tributary to Big Sheep Creek, Imnaha drainage",5
CLWR - Clearwater River,5
JDARSF - South Fork John Day River,5
LFF - Lyle Falls Fishway,5
LOONC - Loon Creek,5
MWC - Maxwell Canal,5
ROZ - Roza Diversion Dam (Combined),5
UMW - Umatilla R Recycled Water Fac,5
"AGC - Agency Creek, Lemhi R. Basin",4
ALMOTC - Almota Creek - tributary to Snake River,4
JDA - John Day Dam,4
JDAR1 - John Day River - mouth to North Fork John Day River (km 0-298),4
LLRTP - Lower Lemhi River Rotary Screw Trap,4
LLS - Lemhi Little Springs Instream,4
PAT - Pattit Creek Instream Site,4
"PCM - Pine Creek Mouth, Potlatch R.",4
RPDTRP - Rapid River Smolt Trap,4
RPJ - Rapid River Hatchery Pond,4
S2O - Lemhi Sub-reach 2 SC Outlet,4
SALR1 - Salmon River - mouth to above French Creek (km 0-171),4
TOWERC - Tower Creek - tributary to Salmon River,4
BON - Bonneville Dam Complex,3
BR1 - Bridge Creek Kiosk,3
COP - Lower Coppei Instream Array,3
DSF - Deschutes Sherars Falls,3
LGSBPS - LGS - Release into the PIT-Tag Diversion System between the Diversion Gate and the furthest downstream PIT-Tag Detector,3
LNR - Lower Naches River,3
LSFTRP - Lower SF Salmon River Trap at rkm 61,3
"LYLFAT - Lyle Falls Adult Fish Trap, Klickitat River",3
MARTR2 - Lower Marsh Creek Trap at rkm 8,3
RFL - Redfish Lake Creek,3
ROZ - Roza Dam,3
S2I - Lemhi Sub-reach 2 SC Inlet,3
SJ2 - SF John Day (Murderer's),3
SNAKE2 - Snake River - Palouse River to Clearwater River (km 96-224),3
TPJ - Tucannon at Panjab Creek,3
UMF - Umatilla R below Feed Dam,3
"WARMSR - Warm Springs River, Deschutes River Watershed",3
YHC - Yellowhawk Creek,3
ALTULC - Alturas Lake Creek,2
"BEAVC - Beaver Creek, tributary to Marsh Creek",2
